0.9342, 325.43, 	0.008, 0.099, #117, 	234, merge, 768, KNearestClassifier, 4, ManhattanDistance, InverseDistance
0.9333, 322.45, 	0.009, 0.100, #113, 	234, merge, 768, KNearestClassifier, 3, ManhattanDistance, InverseDistance
0.9325, 913.08, 	0.007, 0.100, #79, 	234, merge, 256, KNearestClassifier, 3, ManhattanDistance, InverseDistance
0.9325, 508.15, 	0.005, 0.100, #99, 	234, merge, 512, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.9325, 241.77, 	0.007, 0.100, #134, 	234, merge, 1024, KNearestClassifier, 4, ManhattanDistance, InverseDistance
0.9316, 124.13, 	0.006, 0.101, #135, 	234, merge, 1024, KNearestClassifier, 4, CosineSimilarity, InverseDistance
0.9308, 2730.89, 	0.013, 0.102, #37, 	234, merge, 64, KNearestClassifier, 1, ManhattanDistance, InverseDistance
0.9308, 482.92, 	0.008, 0.102, #96, 	234, merge, 512, KNearestClassifier, 3, ManhattanDistance, InverseDistance
0.9291, 225.59, 	0.005, 0.103, #133, 	234, merge, 1024, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.9291, 167.09, 	0.009, 0.103, #81, 	234, merge, 256, KNearestClassifier, 3, PearsonSimilarity, InverseDistance
0.9274, 915.37, 	0.007, 0.104, #83, 	234, merge, 256, KNearestClassifier, 4, ManhattanDistance, InverseDistance
0.9256, 950.69, 	0.006, 0.105, #82, 	234, merge, 256, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.9239, 1522.76, 	0.006, 0.106, #66, 	234, merge, 128, KNearestClassifier, 4, ManhattanDistance, InverseDistance
0.9239, 304.58, 	0.006, 0.106, #101, 	234, merge, 512, KNearestClassifier, 4, CosineSimilarity, InverseDistance
0.9239, 41.01, 	0.005, 0.106, #136, 	234, merge, 1024, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.9231, 334.31, 	0.007, 0.107, #112, 	234, merge, 768, KNearestClassifier, 3, EuclideanDistance, InverseDistance
