0.9735, 261.63, 	0.003, 0.064, #125, 	234, grid, 1024, KNearestClassifier, 2, EuclideanDistance, InverseDistance
0.9726, 261.13, 	0.004, 0.065, #93, 	234, grid, 512, KNearestClassifier, 2, CosineSimilarity, InverseDistance
0.9726, 154.45, 	0.003, 0.065, #127, 	234, grid, 1024, KNearestClassifier, 2, CosineSimilarity, InverseDistance
0.9726, 53.65, 	0.004, 0.065, #111, 	234, grid, 768, KNearestClassifier, 2, PearsonSimilarity, InverseDistance
0.9718, 1773.99, 	0.002, 0.066, #5, 	234, grid, 16, KNearestClassifier, 1, PearsonSimilarity, InverseDistance
0.9718, 299.50, 	0.002, 0.066, #104, 	234, grid, 768, KNearestClassifier, 1, EuclideanDistance, InverseDistance
0.9718, 179.63, 	0.003, 0.066, #110, 	234, grid, 768, KNearestClassifier, 2, CosineSimilarity, InverseDistance
0.9718, 179.31, 	0.004, 0.066, #106, 	234, grid, 768, KNearestClassifier, 1, CosineSimilarity, InverseDistance
0.9709, 2748.04, 	0.002, 0.067, #41, 	234, grid, 64, KNearestClassifier, 2, ManhattanDistance, InverseDistance
0.9709, 922.56, 	0.002, 0.067, #59, 	234, grid, 128, KNearestClassifier, 2, CosineSimilarity, InverseDistance
0.9709, 425.63, 	0.003, 0.067, #91, 	234, grid, 512, KNearestClassifier, 2, EuclideanDistance, InverseDistance
0.9701, 79.66, 	0.004, 0.068, #94, 	234, grid, 512, KNearestClassifier, 2, PearsonSimilarity, InverseDistance
0.9701, 53.70, 	0.004, 0.068, #107, 	234, grid, 768, KNearestClassifier, 1, PearsonSimilarity, InverseDistance
0.9692, 3817.89, 	0.002, 0.069, #4, 	234, grid, 16, KNearestClassifier, 1, CosineSimilarity, InverseDistance
0.9684, 431.93, 	0.004, 0.070, #87, 	234, grid, 512, KNearestClassifier, 1, EuclideanDistance, InverseDistance
0.9675, 4144.87, 	0.003, 0.071, #24, 	234, grid, 32, KNearestClassifier, 2, ManhattanDistance, InverseDistance
0.9675, 1459.55, 	0.004, 0.071, #57, 	234, grid, 128, KNearestClassifier, 2, EuclideanDistance, InverseDistance
0.9667, 5364.57, 	0.002, 0.072, #3, 	234, grid, 16, KNearestClassifier, 1, ManhattanDistance, InverseDistance
0.9641, 5321.18, 	0.003, 0.074, #7, 	234, grid, 16, KNearestClassifier, 2, ManhattanDistance, InverseDistance
0.9598, 4135.85, 	0.007, 0.079, #20, 	234, grid, 32, KNearestClassifier, 1, ManhattanDistance, InverseDistance
0.9538, 816.44, 	0.003, 0.084, #82, 	234, grid, 256, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.9504, 4121.17, 	0.003, 0.087, #31, 	234, grid, 32, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.9496, 1842.59, 	0.004, 0.088, #50, 	234, grid, 64, KNearestClassifier, 4, CosineSimilarity, InverseDistance
0.9479, 1493.82, 	0.007, 0.089, #66, 	234, grid, 128, KNearestClassifier, 4, ManhattanDistance, InverseDistance
0.9427, 1456.44, 	0.005, 0.093, #65, 	234, grid, 128, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.9427, 840.87, 	0.004, 0.093, #83, 	234, grid, 256, KNearestClassifier, 4, ManhattanDistance, InverseDistance
0.9419, 430.44, 	0.006, 0.094, #99, 	234, grid, 512, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.9410, 2765.58, 	0.004, 0.094, #48, 	234, grid, 64, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.9393, 303.47, 	0.005, 0.096, #113, 	234, grid, 768, KNearestClassifier, 3, ManhattanDistance, InverseDistance
0.9385, 1504.24, 	0.007, 0.096, #62, 	234, grid, 128, KNearestClassifier, 3, ManhattanDistance, InverseDistance
0.9385, 441.86, 	0.007, 0.096, #96, 	234, grid, 512, KNearestClassifier, 3, ManhattanDistance, InverseDistance
0.9376, 920.54, 	0.007, 0.097, #67, 	234, grid, 128, KNearestClassifier, 4, CosineSimilarity, InverseDistance
0.9376, 608.38, 	0.004, 0.097, #51, 	234, grid, 64, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.9376, 248.27, 	0.004, 0.097, #134, 	234, grid, 1024, KNearestClassifier, 4, ManhattanDistance, InverseDistance
0.9359, 303.74, 	0.006, 0.098, #117, 	234, grid, 768, KNearestClassifier, 4, ManhattanDistance, InverseDistance
0.9350, 840.86, 	0.006, 0.099, #79, 	234, grid, 256, KNearestClassifier, 3, ManhattanDistance, InverseDistance
0.9350, 817.40, 	0.007, 0.099, #78, 	234, grid, 256, KNearestClassifier, 3, EuclideanDistance, InverseDistance
0.9350, 154.28, 	0.006, 0.099, #135, 	234, grid, 1024, KNearestClassifier, 4, CosineSimilarity, InverseDistance
0.9342, 179.59, 	0.009, 0.099, #118, 	234, grid, 768, KNearestClassifier, 4, CosineSimilarity, InverseDistance
0.9333, 261.26, 	0.006, 0.100, #97, 	234, grid, 512, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.9333, 261.05, 	0.007, 0.100, #101, 	234, grid, 512, KNearestClassifier, 4, CosineSimilarity, InverseDistance
0.9325, 440.10, 	0.005, 0.100, #100, 	234, grid, 512, KNearestClassifier, 4, ManhattanDistance, InverseDistance
0.9325, 300.15, 	0.007, 0.100, #116, 	234, grid, 768, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.9316, 2905.48, 	0.006, 0.101, #29, 	234, grid, 32, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.9316, 2755.81, 	0.006, 0.101, #44, 	234, grid, 64, KNearestClassifier, 3, EuclideanDistance, InverseDistance
0.9316, 2743.40, 	0.008, 0.101, #49, 	234, grid, 64, KNearestClassifier, 4, ManhattanDistance, InverseDistance
0.9316, 502.32, 	0.006, 0.101, #84, 	234, grid, 256, KNearestClassifier, 4, CosineSimilarity, InverseDistance
0.9299, 79.56, 	0.008, 0.102, #102, 	234, grid, 512, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.9282, 299.68, 	0.006, 0.103, #68, 	234, grid, 128, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.9274, 2884.47, 	0.007, 0.104, #33, 	234, grid, 32, KNearestClassifier, 4, CosineSimilarity, InverseDistance
0.9274, 156.38, 	0.005, 0.104, #81, 	234, grid, 256, KNearestClassifier, 3, PearsonSimilarity, InverseDistance
0.9265, 5065.09, 	0.006, 0.104, #10, 	234, grid, 16, KNearestClassifier, 3, EuclideanDistance, InverseDistance
0.9265, 2741.21, 	0.008, 0.104, #45, 	234, grid, 64, KNearestClassifier, 3, ManhattanDistance, InverseDistance
0.9265, 502.67, 	0.005, 0.104, #80, 	234, grid, 256, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.9256, 609.26, 	0.007, 0.105, #47, 	234, grid, 64, KNearestClassifier, 3, PearsonSimilarity, InverseDistance
0.9248, 5334.32, 	0.007, 0.106, #11, 	234, grid, 16, KNearestClassifier, 3, ManhattanDistance, InverseDistance
0.9248, 4127.31, 	0.006, 0.106, #27, 	234, grid, 32, KNearestClassifier, 3, EuclideanDistance, InverseDistance
0.9248, 300.01, 	0.008, 0.106, #64, 	234, grid, 128, KNearestClassifier, 3, PearsonSimilarity, InverseDistance
0.9248, 248.00, 	0.010, 0.106, #130, 	234, grid, 1024, KNearestClassifier, 3, ManhattanDistance, InverseDistance
0.9239, 1108.24, 	0.004, 0.106, #34, 	234, grid, 32, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.9239, 260.96, 	0.007, 0.106, #133, 	234, grid, 1024, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.9231, 79.54, 	0.007, 0.107, #98, 	234, grid, 512, KNearestClassifier, 3, PearsonSimilarity, InverseDistance
0.9222, 3809.43, 	0.006, 0.107, #16, 	234, grid, 16, KNearestClassifier, 4, CosineSimilarity, InverseDistance
0.9222, 1112.90, 	0.006, 0.107, #30, 	234, grid, 32, KNearestClassifier, 3, PearsonSimilarity, InverseDistance
0.9222, 156.61, 	0.006, 0.107, #85, 	234, grid, 256, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.9222, 53.66, 	0.011, 0.107, #119, 	234, grid, 768, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.9205, 1845.17, 	0.008, 0.108, #46, 	234, grid, 64, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.9188, 4120.05, 	0.012, 0.109, #28, 	234, grid, 32, KNearestClassifier, 3, ManhattanDistance, InverseDistance
0.9188, 4111.38, 	0.008, 0.109, #32, 	234, grid, 32, KNearestClassifier, 4, ManhattanDistance, InverseDistance
0.9188, 153.83, 	0.012, 0.109, #131, 	234, grid, 1024, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.9171, 922.60, 	0.011, 0.110, #63, 	234, grid, 128, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.9171, 42.86, 	0.011, 0.110, #136, 	234, grid, 1024, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.9162, 53.67, 	0.009, 0.111, #115, 	234, grid, 768, KNearestClassifier, 3, PearsonSimilarity, InverseDistance
0.9154, 5326.48, 	0.009, 0.111, #15, 	234, grid, 16, KNearestClassifier, 4, ManhattanDistance, InverseDistance
0.9145, 431.75, 	0.009, 0.112, #95, 	234, grid, 512, KNearestClassifier, 3, EuclideanDistance, InverseDistance
0.9137, 299.83, 	0.009, 0.112, #112, 	234, grid, 768, KNearestClassifier, 3, EuclideanDistance, InverseDistance
0.9128, 42.64, 	0.012, 0.113, #132, 	234, grid, 1024, KNearestClassifier, 3, PearsonSimilarity, InverseDistance
0.9111, 3801.61, 	0.012, 0.114, #12, 	234, grid, 16, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.9111, 262.12, 	0.011, 0.114, #129, 	234, grid, 1024, KNearestClassifier, 3, EuclideanDistance, InverseDistance
0.9094, 1451.14, 	0.010, 0.115, #61, 	234, grid, 128, KNearestClassifier, 3, EuclideanDistance, InverseDistance
0.9077, 5065.96, 	0.012, 0.116, #14, 	234, grid, 16, KNearestClassifier, 4, EuclideanDistance, InverseDistance
0.9043, 1765.91, 	0.011, 0.118, #13, 	234, grid, 16, KNearestClassifier, 3, PearsonSimilarity, InverseDistance
0.8966, 179.49, 	0.012, 0.122, #114, 	234, grid, 768, KNearestClassifier, 3, CosineSimilarity, InverseDistance
0.8829, 1773.84, 	0.012, 0.129, #17, 	234, grid, 16, KNearestClassifier, 4, PearsonSimilarity, InverseDistance
0.8778, 359.39, 	0.009, 0.131, #52, 	234, grid, 128, NaiveBayesClassifier
0.8684, 90.06, 	0.013, 0.135, #86, 	234, grid, 512, NaiveBayesClassifier
0.8530, 690.13, 	0.013, 0.142, #35, 	234, grid, 64, NaiveBayesClassifier
0.8513, 177.11, 	0.018, 0.142, #69, 	234, grid, 256, NaiveBayesClassifier
0.8419, 58.49, 	0.017, 0.146, #103, 	234, grid, 768, NaiveBayesClassifier
0.8265, 43.86, 	0.047, 0.152, #120, 	234, grid, 1024, NaiveBayesClassifier
0.7915, 1501.20, 	0.023, 0.163, #18, 	234, grid, 32, NaiveBayesClassifier
0.7538, 2763.72, 	0.022, 0.172, #1, 	234, grid, 16, NaiveBayesClassifier
